Model,RMSE,Train_time,Test_time
SARIMA,97.91720172619907,264.7368838787079,0.011007308959960938
RNN,378.3093668106661,5.9360737800598145,0.12365150451660156
Vanilla_LSTM,110.33347029900341,20.891642332077026,0.20992660522460938
Stacked_LSTM,188.88296118608778,23.129982233047485,0.3345947265625
Bidirect_LSTM,135.53270149517635,28.90048050880432,0.592888355255127
CNN_LSTM,336.2211890495252,6.275195837020874,0.22353410720825195
Encode_De_LSTM,232.13253756872143,57.53982400894165,0.45524168014526367
