Model,RMSE,Train_time,Test_time
SARIMA,14.005694323180517,57.49429154396057,0.01479482650756836
RNN,136.95125374669925,2.872465133666992,0.12319374084472656
Vanilla_LSTM,307.0637612065397,11.2864248752594,0.15436458587646484
Stacked_LSTM,207.99332853526036,17.28378438949585,0.22764182090759277
Bidirect_LSTM,75.45555385726013,15.27207350730896,0.2454695701599121
CNN_LSTM,124.1104057787341,1.7364425659179688,0.1539163589477539
Encode_De_LSTM,107.36372939910947,12.578156471252441,0.30440354347229004
