Model,RMSE,Train_time,Test_time
SARIMA,111.19373835479426,1953.0539627075195,0.09452962875366211
RNN,344.7651252191005,7.900573492050171,0.19061684608459473
Vanilla_LSTM,165.40934793384557,6.742196083068848,0.16332602500915527
Stacked_LSTM,185.43852774231797,23.07929301261902,0.23024439811706543
Bidirect_LSTM,202.29266553279,15.091402530670166,0.30896544456481934
CNN_LSTM,305.94767327585015,5.9391930103302,0.15450596809387207
Encode_De_LSTM,233.1751740186265,33.429415464401245,0.2985389232635498
