Date,Open,High,Low,Close,Adj Close,Volume
2012-10-16,12298.09961,12412.2002,12232.09961,12407.7002,12407.7002,150614400
2012-10-17,12423.7002,12463.29981,12396.7002,12461.29981,12461.29981,194273200
2012-10-18,12425.5,12494,12425,12466.09961,12466.09961,154959500
2012-10-19,12437.90039,12465,12372.90039,12416,12416,163589600
2012-10-22,12362.7002,12430.5,12340.40039,12403.5,12403.5,155419800
2012-10-23,12261,12391.90039,12141.2002,12225.79981,12225.79981,165770600
2012-10-24,12258.09961,12261.09961,12186.59961,12195,12195,151735100
2012-10-25,12289.7002,12326.7002,12195,12300.2002,12300.2002,160945900
2012-10-26,12301.59961,12353.2002,12290.40039,12300.29981,12300.29981,151531800
2012-10-29,12282.09961,12318,12250.5,12312.79981,12312.79981,777400
2012-10-30,12302.5,12395.40039,12294.59961,12377,12377,991000
2012-10-31,12416.7002,12462.29981,12390,12422.90039,12422.90039,185566100
2012-11-01,12408.5,12511.5,12408.5,12499.79981,12499.79981,182869800
2012-11-02,12489.7002,12501.59961,12373.2002,12380.40039,12380.40039,182355400
2012-11-05,12373.5,12417.29981,12347.09961,12352.79981,12352.79981,131371800
2012-11-06,12380.29981,12395.59961,12334.09961,12361.2002,12361.2002,156460000
2012-11-07,12326.79981,12360.90039,12201.90039,12230.59961,12230.59961,167321000
2012-11-08,12227.90039,12252.2002,12164.09961,12191.09961,12191.09961,185660200
2012-11-09,12166.59961,12251.5,12151.2002,12196.79981,12196.79981,157798300
2012-11-12,12219.79981,12239.59961,12187,12191.5,12191.5,106605900
2012-11-13,12130.29981,12212.90039,12124.40039,12134.7002,12134.7002,136348500
2012-11-14,12139.79981,12139.79981,11915.09961,11929.79981,11929.79981,192495200
2012-11-15,11879.59961,11926.40039,11761.29981,11811.40039,11811.40039,227346200
2012-11-16,11814.40039,11877.7002,11761.90039,11877.7002,11877.7002,160133300
2012-11-19,12003.5,12040.40039,11878.2002,12040.40039,12040.40039,139715500
2012-11-20,12040.79981,12051.7002,11986,12046.29981,12046.29981,164426800
2012-11-21,12016.7002,12104.7002,12016.7002,12100.09961,12100.09961,146577100
2012-11-22,12129.29981,12171.2002,12100.09961,12153.09961,12153.09961,590400
2012-11-23,12169.2002,12229.79981,12142.29981,12213.2002,12213.2002,99293500
2012-11-26,12199.2002,12212.90039,12149,12185.09961,12185.09961,127850700
2012-11-27,12194.40039,12196.5,12106,12111.59961,12111.59961,152654900
2012-11-28,12012.59961,12141.40039,12004.5,12140.29981,12140.29981,157293400
2012-11-29,12207.90039,12227.5,12140.29981,12202.90039,12202.90039,163096100
2012-11-30,12203.79981,12246.29981,12170.40039,12239.40039,12239.40039,217841900
2012-12-03,12253.7002,12253.7002,12151.29981,12169.7002,12169.7002,165226000
2012-12-04,12106.2002,12169.7002,12095.5,12137.2002,12137.2002,162209000
2012-12-05,12155.29981,12208.5,12136.40039,12157.29981,12157.29981,179536700
2012-12-06,12189.29981,12189.29981,12132.7002,12151.09961,12151.09961,194665500
2012-12-07,12189.40039,12208.09961,12144.2002,12159.59961,12159.59961,201048000
2012-12-10,12212.09961,12236.7002,12161.09961,12230.5,12230.5,182791100
2012-12-11,12242.5,12306.79981,12235,12282.40039,12282.40039,191879100
2012-12-12,12305.79981,12365.79981,12282.59961,12353.09961,12353.09961,223019600
2012-12-13,12305.40039,12346.2002,12262,12289.2002,12289.2002,205052800
2012-12-14,12284.29981,12307.09961,12256.59961,12296.7002,12296.7002,236856400
2012-12-17,12281.29981,12296.90039,12233.09961,12281.40039,12281.40039,232325400
2012-12-18,12285.90039,12353.90039,12279.7002,12334.29981,12334.29981,220015700
2012-12-19,12356.09961,12414.09961,12335.40039,12403.59961,12403.59961,206849300
2012-12-20,12376,12403.09961,12335.40039,12388.7002,12388.7002,170132700
2012-12-21,12383.7002,12414.90039,12313.7002,12385.7002,12385.7002,345415100
2012-12-24,12379.29981,12400,12350.29981,12370.79981,12370.79981,56857600
2012-12-27,12325,12373.79981,12289.7002,12373.79981,12373.79981,110472100
2012-12-28,12317,12371.2002,12305,12316.09961,12316.09961,84459900
2012-12-31,12296.09961,12457.29981,12289.7002,12433.5,12433.5,99702000
2013-01-02,12571.79981,12588.79981,12439.29981,12540.79981,12540.79981,149629700
2013-01-03,12539.09961,12540.59961,12430.40039,12470.40039,12470.40039,160667700
2013-01-04,12435.09961,12540.79981,12435.09961,12540.79981,12540.79981,133007300
